Trade number;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Profit;Cum. net profit;
126;Long;1;4417,50;4369,00;20/09/2021 1:00:00;20/09/2021 8:30:00;-2441,00 $;24234,00 $;
127;Long;1;4329,00;4366,00;22/09/2021 1:00:00;22/09/2021 10:00:00;1834,00 $;26068,00 $;
128;Long;1;4426,75;4406,75;28/09/2021 1:00:00;28/09/2021 10:00:00;-1016,00 $;25052,00 $;
129;Long;1;4308,75;4261,25;01/10/2021 1:00:00;01/10/2021 7:00:00;-2391,00 $;22661,00 $;
130;Long;1;4363,00;4369,50;11/10/2021 1:00:00;11/10/2021 10:00:00;309,00 $;22970,00 $;
131;Long;1;4336,75;4353,75;12/10/2021 1:00:00;12/10/2021 10:00:00;834,00 $;23804,00 $;
132;Long;1;4334,00;4349,50;13/10/2021 1:00:00;13/10/2021 10:00:00;759,00 $;24563,00 $;
133;Long;1;4552,50;4579,50;28/10/2021 1:00:00;28/10/2021 15:30:00;1334,00 $;25897,00 $;
134;Long;1;4671,25;4675,75;10/11/2021 1:00:00;10/11/2021 15:30:00;209,00 $;26106,00 $;
135;Long;1;4648,50;4646,50;11/11/2021 1:00:00;11/11/2021 6:00:00;-116,00 $;25990,00 $;
