EXIT DATE;PL/CNTR;RISK/CNTR;DELTA;CONTRACTS;POS PL;EQUITY
04/10/2013;-112,14;0;58750;1;-112,14;271.175,10
07/10/2013;-145,96;0;58750;1;-145,96;271.029,14
08/10/2013;550,18;0;58750;1;550,18;271.579,32
09/10/2013;15;0;58750;1;15;271.594,32
10/10/2013;-683,53;0;58750;1;-683,53;270.910,79
11/10/2013;-158,08;0;58750;1;-158,08;270.752,71
14/10/2013;30,72;0;58750;1;30,72;270.783,43
15/10/2013;-1,61;0;58750;1;-1,61;270.781,82
16/10/2013;31,2;0;58750;1;31,2;270.813,02
17/10/2013;-147,35;0;58750;1;-147,35;270.665,67
18/10/2013;-256,16;0;58750;1;-256,16;270.409,51
21/10/2013;-18,51;0;58750;1;-18,51;270.391,00
22/10/2013;930,36;0;58750;1;930,36;271.321,36
23/10/2013;-288,17;0;58750;1;-288,17;271.033,19
25/10/2013;112,22;0;58750;1;112,22;271.145,41
28/10/2013;-74,71;0;58750;1;-74,71;271.070,70
29/10/2013;-609,91;0;58750;1;-609,91;270.460,79
30/10/2013;1.100,60;0;58750;1;1.100,60;271.561,39
05/11/2013;-117,99;0;58750;1;-117,99;271.443,40
06/11/2013;-299,01;0;58750;1;-299,01;271.144,39
07/11/2013;742,99;0;58750;1;742,99;271.887,38
08/11/2013;691,17;0;58750;1;691,17;272.578,55
11/11/2013;-338,52;0;58750;1;-338,52;272.240,03
12/11/2013;-32,05;0;58750;1;-32,05;272.207,98
13/11/2013;1.144,73;0;58750;1;1.144,73;273.352,71
15/11/2013;17,71;0;58750;1;17,71;273.370,42
18/11/2013;1.136,81;0;58750;1;1.136,81;274.507,23
20/11/2013;-419,14;0;58750;1;-419,14;274.088,09
21/11/2013;205,48;0;58750;1;205,48;274.293,57
22/11/2013;-651,96;0;58750;1;-651,96;273.641,61
25/11/2013;215,52;0;58750;1;215,52;273.857,13
26/11/2013;1.151,19;0;58750;1;1.151,19;275.008,32
27/11/2013;-681,99;0;58750;1;-681,99;274.326,33
28/11/2013;353,59;0;58750;1;353,59;274.679,92
29/11/2013;-197,82;0;58750;1;-197,82;274.482,10
02/12/2013;820,48;0;58750;1;820,48;275.302,58
03/12/2013;-443;0;58750;1;-443;274.859,58
04/12/2013;1.630,87;0;58750;1;1.630,87;276.490,45
05/12/2013;591,18;0;58750;1;591,18;277.081,63
06/12/2013;-280,91;0;58750;1;-280,91;276.800,72
12/12/2013;262,76;0;58750;1;262,76;277.063,48
13/12/2013;463,19;0;58750;1;463,19;277.526,67
16/12/2013;-516,94;0;58750;1;-516,94;277.009,73
17/12/2013;-673,17;0;58750;1;-673,17;276.336,56
18/12/2013;-897,43;0;58750;1;-897,43;275.439,13
19/12/2013;-17,97;0;58750;1;-17,97;275.421,16
20/12/2013;-841,2;0;58750;1;-841,2;274.579,96
23/12/2013;-265,86;0;58750;1;-265,86;274.314,10
24/12/2013;-86,78;0;58750;1;-86,78;274.227,32
26/12/2013;-113,88;0;58750;1;-113,88;274.113,44
27/12/2013;315,87;0;58750;1;315,87;274.429,31
30/12/2013;19,06;0;58750;1;19,06;274.448,37
31/12/2013;-168,39;0;58750;1;-168,39;274.279,98
02/01/2014;-38,94;0;58750;1;-38,94;274.241,04
06/01/2014;35,46;0;58750;1;35,46;274.276,50
07/01/2014;-282,05;0;58750;1;-282,05;273.994,45
08/01/2014;-818,79;0;58750;1;-818,79;273.175,66
09/01/2014;-852,87;0;58750;1;-852,87;272.322,79
10/01/2014;1.775,08;0;58750;1;1.775,08;274.097,87
13/01/2014;810,77;0;58750;1;810,77;274.908,64
14/01/2014;-1.345,67;0;58750;1;-1.345,67;273.562,97
15/01/2014;-317,62;0;58750;1;-317,62;273.245,35
16/01/2014;759,22;0;58750;1;759,22;274.004,57
17/01/2014;14,91;0;58750;1;14,91;274.019,48
20/01/2014;56,34;0;58750;1;56,34;274.075,82
23/01/2014;1.000,62;0;58750;1;1.000,62;275.076,44
24/01/2014;-1.159,58;0;58750;1;-1.159,58;273.916,86
27/01/2014;684,62;0;58750;1;684,62;274.601,48
28/01/2014;369,98;0;58750;1;369,98;274.971,46
29/01/2014;146,23;0;58750;1;146,23;275.117,69
30/01/2014;-205,9;0;58750;1;-205,9;274.911,79
31/01/2014;711,92;0;58750;1;711,92;275.623,71
04/02/2014;-825,22;0;58750;1;-825,22;274.798,49
05/02/2014;547,28;0;58750;1;547,28;275.345,77
06/02/2014;-1.240,77;0;58750;1;-1.240,77;274.105,00
07/02/2014;118,48;0;58750;1;118,48;274.223,48
12/02/2014;124,67;0;58750;1;124,67;274.348,15
13/02/2014;711,51;0;58750;1;711,51;275.059,66
14/02/2014;-483,49;0;58750;1;-483,49;274.576,17
17/02/2014;118,15;0;58750;1;118,15;274.694,32
18/02/2014;-451,59;0;58750;1;-451,59;274.242,73
19/02/2014;-436,82;0;58750;1;-436,82;273.805,91
21/02/2014;437,55;0;58750;1;437,55;274.243,46
24/02/2014;-399,31;0;58750;1;-399,31;273.844,15
25/02/2014;113,06;0;58750;1;113,06;273.957,21
26/02/2014;35,39;0;58750;1;35,39;273.992,60
05/03/2014;157,02;0;58750;1;157,02;274.149,62
06/03/2014;-354,76;0;58750;1;-354,76;273.794,86
07/03/2014;-347,01;0;58750;1;-347,01;273.447,85
10/03/2014;-666,69;0;58750;1;-666,69;272.781,16
11/03/2014;-388,28;0;58750;1;-388,28;272.392,88
12/03/2014;106,91;0;58750;1;106,91;272.499,79
13/03/2014;191,94;0;58750;1;191,94;272.691,73
14/03/2014;36,99;0;58750;1;36,99;272.728,72
17/03/2014;-2.772,55;0;58750;1;-2.772,55;269.956,17
18/03/2014;534,51;0;58750;1;534,51;270.490,68
19/03/2014;434,64;0;58750;1;434,64;270.925,32
20/03/2014;344,31;0;58750;1;344,31;271.269,63
24/03/2014;239,24;0;58750;1;239,24;271.508,87
25/03/2014;-184,44;0;58750;1;-184,44;271.324,43
26/03/2014;-206,75;0;58750;1;-206,75;271.117,68
27/03/2014;317,89;0;58750;1;317,89;271.435,57
28/03/2014;-597,75;0;58750;1;-597,75;270.837,82
31/03/2014;-916,08;0;58750;1;-916,08;269.921,74
01/04/2014;-648,22;0;58750;1;-648,22;269.273,52
02/04/2014;770,27;0;58750;1;770,27;270.043,79
03/04/2014;403,9;0;58750;1;403,9;270.447,69
04/04/2014;789,88;0;58750;1;789,88;271.237,57
07/04/2014;-540,78;0;58750;1;-540,78;270.696,79
08/04/2014;-87,64;0;58750;1;-87,64;270.609,15
09/04/2014;-457,03;0;58750;1;-457,03;270.152,12
10/04/2014;2.636,51;0;58750;1;2.636,51;272.788,63
11/04/2014;691,37;0;58750;1;691,37;273.480,00
14/04/2014;-1.240,48;0;58750;1;-1.240,48;272.239,52
15/04/2014;1.609,78;0;58750;1;1.609,78;273.849,30
17/04/2014;222,05;0;58750;1;222,05;274.071,35
22/04/2014;-213,14;0;58750;1;-213,14;273.858,21
23/04/2014;101,05;0;58750;1;101,05;273.959,26
24/04/2014;-376,19;0;58750;1;-376,19;273.583,07
25/04/2014;413,75;0;58750;1;413,75;273.996,82
28/04/2014;-733,81;0;58750;1;-733,81;273.263,01
29/04/2014;-476,46;0;58750;1;-476,46;272.786,55
30/04/2014;214,38;0;58750;1;214,38;273.000,93
01/05/2014;-651,23;0;58750;1;-651,23;272.349,70
02/05/2014;225,68;0;58750;1;225,68;272.575,38
05/05/2014;-628,54;0;58750;1;-628,54;271.946,84
06/05/2014;837,07;0;58750;1;837,07;272.783,91
07/05/2014;56,39;0;58750;1;56,39;272.840,30
08/05/2014;-710,35;0;58750;1;-710,35;272.129,95
09/05/2014;190,14;0;58750;1;190,14;272.320,09
12/05/2014;1.185,84;0;58750;1;1.185,84;273.505,93
13/05/2014;2.246,62;0;58750;1;2.246,62;275.752,55
14/05/2014;1.140,97;0;58750;1;1.140,97;276.893,52
16/05/2014;225,33;0;58750;1;225,33;277.118,85
20/05/2014;159,91;0;58750;1;159,91;277.278,76
21/05/2014;-119,39;0;58750;1;-119,39;277.159,37
22/05/2014;-243,63;0;58750;1;-243,63;276.915,74
23/05/2014;-621,85;0;58750;1;-621,85;276.293,89
26/05/2014;-659,83;0;58750;1;-659,83;275.634,06
27/05/2014;497,23;0;58750;1;497,23;276.131,29
28/05/2014;486,12;0;58750;1;486,12;276.617,41
29/05/2014;-5,64;0;58750;1;-5,64;276.611,77
30/05/2014;-65,26;0;58750;1;-65,26;276.546,51
02/06/2014;302,96;0;58750;1;302,96;276.849,47
03/06/2014;458,62;0;58750;1;458,62;277.308,09
04/06/2014;-760,4;0;58750;1;-760,4;276.547,69
05/06/2014;2.463,24;0;58750;1;2.463,24;279.010,93
06/06/2014;-560,7;0;58750;1;-560,7;278.450,23
09/06/2014;115,69;0;58750;1;115,69;278.565,92
10/06/2014;601,81;0;58750;1;601,81;279.167,73
11/06/2014;-885,43;0;58750;1;-885,43;278.282,30
13/06/2014;-1.409,56;0;58750;1;-1.409,56;276.872,74
16/06/2014;-833,53;0;58750;1;-833,53;276.039,21
17/06/2014;326,91;0;58750;1;326,91;276.366,12
19/06/2014;466,09;0;58750;1;466,09;276.832,21
20/06/2014;-102,76;0;58750;1;-102,76;276.729,45
23/06/2014;326,72;0;58750;1;326,72;277.056,17
24/06/2014;-417,59;0;58750;1;-417,59;276.638,58
25/06/2014;1.010,26;0;58750;1;1.010,26;277.648,84
26/06/2014;-83,96;0;58750;1;-83,96;277.564,88
02/07/2014;123,29;0;58750;1;123,29;277.688,17
03/07/2014;190,33;0;58750;1;190,33;277.878,50
